filename,result,frame,conf
crop_0145_f00203_c0.55_55-56min.jpg,,00203,0.55
crop_0146_f00204_c0.52_55-56min.jpg,,00204,0.52
crop_0147_f00206_c0.41_55-56min.jpg,,00206,0.41
crop_0148_f00207_c0.52_55-56min.jpg,,00207,0.52
crop_0149_f00208_c0.48_55-56min.jpg,,00208,0.48
crop_0150_f00209_c0.37_55-56min.jpg,,00209,0.37
crop_0151_f00210_c0.46_55-56min.jpg,,00210,0.46
crop_0152_f00211_c0.53_55-56min.jpg,,00211,0.53
crop_0153_f00212_c0.59_55-56min.jpg,,00212,0.59
crop_0154_f00213_c0.69_55-56min.jpg,,00213,0.69
crop_0155_f00214_c0.62_55-56min.jpg,,00214,0.62
crop_0156_f00214_c0.37_55-56min.jpg,,00214,0.37
crop_0157_f00215_c0.74_55-56min.jpg,,00215,0.74
crop_0158_f00216_c0.69_55-56min.jpg,,00216,0.69
crop_0159_f00217_c0.51_55-56min.jpg,,00217,0.51
crop_0160_f00218_c0.73_55-56min.jpg,,00218,0.73
crop_0161_f00219_c0.70_55-56min.jpg,,00219,0.70
crop_0162_f00220_c0.66_55-56min.jpg,,00220,0.66
crop_0163_f00220_c0.50_55-56min.jpg,,00220,0.50
crop_0164_f00221_c0.75_55-56min.jpg,,00221,0.75
crop_0165_f00221_c0.59_55-56min.jpg,,00221,0.59
crop_0166_f00221_c0.38_55-56min.jpg,,00221,0.38
crop_0167_f00222_c0.62_55-56min.jpg,,00222,0.62
crop_0168_f00222_c0.44_55-56min.jpg,,00222,0.44
crop_0169_f00223_c0.36_55-56min.jpg,,00223,0.36
crop_0170_f00225_c0.71_55-56min.jpg,,00225,0.71
crop_0171_f00225_c0.50_55-56min.jpg,,00225,0.50
crop_0172_f00226_c0.64_55-56min.jpg,,00226,0.64
crop_0173_f00226_c0.51_55-56min.jpg,,00226,0.51
crop_0174_f00227_c0.66_55-56min.jpg,,00227,0.66
crop_0175_f00227_c0.38_55-56min.jpg,,00227,0.38
crop_0176_f00228_c0.71_55-56min.jpg,,00228,0.71
crop_0177_f00228_c0.50_55-56min.jpg,,00228,0.50
crop_0178_f00229_c0.70_55-56min.jpg,,00229,0.70
crop_0179_f00229_c0.57_55-56min.jpg,,00229,0.57
crop_0180_f00230_c0.70_55-56min.jpg,,00230,0.70
crop_0181_f00230_c0.44_55-56min.jpg,,00230,0.44
crop_0182_f00231_c0.69_55-56min.jpg,,00231,0.69
crop_0183_f00231_c0.54_55-56min.jpg,,00231,0.54
crop_0184_f00232_c0.70_55-56min.jpg,,00232,0.70
crop_0185_f00232_c0.38_55-56min.jpg,,00232,0.38
crop_0186_f00233_c0.68_55-56min.jpg,,00233,0.68
crop_0187_f00233_c0.52_55-56min.jpg,,00233,0.52
crop_0188_f00234_c0.69_55-56min.jpg,,00234,0.69
crop_0189_f00235_c0.68_55-56min.jpg,,00235,0.68
crop_0190_f00235_c0.48_55-56min.jpg,,00235,0.48
crop_0191_f00236_c0.67_55-56min.jpg,,00236,0.67
crop_0192_f00236_c0.37_55-56min.jpg,,00236,0.37
crop_0193_f00237_c0.68_55-56min.jpg,,00237,0.68
crop_0194_f00237_c0.54_55-56min.jpg,,00237,0.54
crop_0195_f00237_c0.41_55-56min.jpg,,00237,0.41
crop_0196_f00238_c0.69_55-56min.jpg,,00238,0.69
crop_0197_f00239_c0.69_55-56min.jpg,,00239,0.69
crop_0198_f00240_c0.68_55-56min.jpg,,00240,0.68
crop_0199_f00240_c0.39_55-56min.jpg,,00240,0.39
crop_0200_f00241_c0.55_55-56min.jpg,,00241,0.55
crop_0201_f00242_c0.46_55-56min.jpg,,00242,0.46
crop_0202_f00243_c0.62_55-56min.jpg,,00243,0.62
crop_0203_f00244_c0.57_55-56min.jpg,,00244,0.57
crop_0204_f00245_c0.66_55-56min.jpg,,00245,0.66
crop_0205_f00246_c0.61_55-56min.jpg,,00246,0.61
crop_0206_f00246_c0.46_55-56min.jpg,,00246,0.46
crop_0207_f00246_c0.35_55-56min.jpg,,00246,0.35
crop_0208_f00247_c0.58_55-56min.jpg,,00247,0.58
crop_0209_f00248_c0.55_55-56min.jpg,,00248,0.55
crop_0210_f00248_c0.38_55-56min.jpg,,00248,0.38
crop_0211_f00249_c0.64_55-56min.jpg,,00249,0.64
crop_0212_f00250_c0.46_55-56min.jpg,,00250,0.46
crop_0213_f00251_c0.48_55-56min.jpg,,00251,0.48
